Year,Survey,Station,Net,Date,TotalMeter
2024,8,101,1,2024-08-14T00:00:00Z,25562
2024,8,102,1,2024-08-14T00:00:00Z,24755
2024,8,103,1,2024-08-14T00:00:00Z,22512
2024,8,104,1,2024-08-13T00:00:00Z,23330
2024,8,105,1,2024-08-13T00:00:00Z,23047
2024,8,106,1,2024-08-13T00:00:00Z,26298
2024,8,107,1,2024-08-14T00:00:00Z,22831
2024,8,108,1,2024-08-13T00:00:00Z,25174
2024,8,109,1,2024-08-13T00:00:00Z,24263
2024,8,110,1,2024-08-13T00:00:00Z,24530
2024,8,140,1,2024-08-14T00:00:00Z,20146
2024,8,142,1,2024-08-13T00:00:00Z,24394
2024,8,211,1,2024-08-12T00:00:00Z,27835
2024,8,212,1,2024-08-12T00:00:00Z,28252
2024,8,213,1,2024-08-12T00:00:00Z,22382
2024,8,214,1,2024-08-12T00:00:00Z,22601
2024,8,215,1,2024-08-12T00:00:00Z,22376
2024,8,216,1,2024-08-12T00:00:00Z,24619
2024,8,243,1,2024-08-12T00:00:00Z,24293
2024,8,244,1,2024-08-12T00:00:00Z,24750
2024,8,317,1,2024-08-07T00:00:00Z,22530
2024,8,318,1,2024-08-07T00:00:00Z,23001
2024,8,319,1,2024-08-07T00:00:00Z,25338
2024,8,320,1,2024-08-07T00:00:00Z,23643
2024,8,321,1,2024-08-07T00:00:00Z,25051
2024,8,322,1,2024-08-07T00:00:00Z,25306
2024,8,323,1,2024-08-07T00:00:00Z,24177
2024,8,325,1,2024-08-07T00:00:00Z,19113
2024,8,345,1,2024-08-07T00:00:00Z,20034
2024,8,346,1,2024-08-07T00:00:00Z,15571
2024,8,427,1,2024-08-06T00:00:00Z,23019
2024,8,428,1,2024-08-06T00:00:00Z,16720
2024,8,429,1,2024-08-06T00:00:00Z,15308
2024,8,430,1,2024-08-06T00:00:00Z,25021
2024,8,431,1,2024-08-06T00:00:00Z,27845
2024,8,432,1,2024-08-06T00:00:00Z,24568
2024,8,433,1,2024-08-06T00:00:00Z,17265
2024,8,447,1,2024-08-06T00:00:00Z,25418
2024,8,534,1,2024-08-06T00:00:00Z,22974
2024,8,535,1,2024-08-06T00:00:00Z,14611
2024,8,736,1,2024-08-05T00:00:00Z,16001
2024,8,750,1,2024-08-05T00:00:00Z,19646
2024,8,751,1,2024-08-05T00:00:00Z,18644
2024,8,752,1,2024-08-05T00:00:00Z,23091
2024,8,760,1,2024-08-05T00:00:00Z,25172
2024,8,761,1,2024-08-05T00:00:00Z,24253
2024,8,762,1,2024-08-05T00:00:00Z,26464
2024,8,837,1,2024-08-01T00:00:00Z,20822
2024,8,853,1,2024-08-01T00:00:00Z,18936
2024,8,863,1,2024-08-01T00:00:00Z,23847
2024,8,864,1,2024-08-01T00:00:00Z,19384
2024,8,865,1,2024-08-01T00:00:00Z,23822
2024,9,102,1,2024-09-23T00:00:00Z,27977
2024,9,103,1,2024-09-23T00:00:00Z,25376
2024,9,104,1,2024-09-18T00:00:00Z,25137
2024,9,105,1,2024-09-18T00:00:00Z,22292
2024,9,106,1,2024-09-18T00:00:00Z,25893
2024,9,107,1,2024-09-23T00:00:00Z,24100
2024,9,108,1,2024-09-18T00:00:00Z,23125
2024,9,109,1,2024-09-18T00:00:00Z,25826
2024,9,110,1,2024-09-18T00:00:00Z,28378
2024,9,142,1,2024-09-18T00:00:00Z,27057
2024,9,211,1,2024-09-17T00:00:00Z,23748
2024,9,212,1,2024-09-17T00:00:00Z,27180
2024,9,213,1,2024-09-17T00:00:00Z,24538
2024,9,214,1,2024-09-17T00:00:00Z,25940
2024,9,215,1,2024-09-17T00:00:00Z,28786
2024,9,216,1,2024-09-17T00:00:00Z,25740
2024,9,243,1,2024-09-17T00:00:00Z,28331
2024,9,244,1,2024-09-17T00:00:00Z,26826
2024,9,317,1,2024-09-16T00:00:00Z,26496
2024,9,318,1,2024-09-16T00:00:00Z,25664
2024,9,319,1,2024-09-16T00:00:00Z,23896
2024,9,320,1,2024-09-16T00:00:00Z,30532
2024,9,321,1,2024-09-16T00:00:00Z,25857
2024,9,322,1,2024-09-16T00:00:00Z,26765
2024,9,323,1,2024-09-16T00:00:00Z,25672
2024,9,325,1,2024-09-16T00:00:00Z,22164
2024,9,345,1,2024-09-16T00:00:00Z,25569
2024,9,346,1,2024-09-16T00:00:00Z,32103
2024,9,427,1,2024-09-11T00:00:00Z,28394
2024,9,428,1,2024-09-11T00:00:00Z,28600
2024,9,429,1,2024-09-11T00:00:00Z,27174
2024,9,430,1,2024-09-11T00:00:00Z,28402
2024,9,431,1,2024-09-11T00:00:00Z,27291
2024,9,432,1,2024-09-11T00:00:00Z,23585
2024,9,433,1,2024-09-11T00:00:00Z,24874
2024,9,447,1,2024-09-11T00:00:00Z,28826
2024,9,534,1,2024-09-11T00:00:00Z,26667
2024,9,535,1,2024-09-11T00:00:00Z,27049
2024,9,736,1,2024-09-10T00:00:00Z,27680
2024,9,750,1,2024-09-10T00:00:00Z,25892
2024,9,751,1,2024-09-10T00:00:00Z,26708
2024,9,752,1,2024-09-10T00:00:00Z,28705
2024,9,760,1,2024-09-10T00:00:00Z,24713
2024,9,761,1,2024-09-10T00:00:00Z,24704
2024,9,762,1,2024-09-10T00:00:00Z,32247
2024,9,837,1,2024-09-09T00:00:00Z,25122
2024,9,853,1,2024-09-09T00:00:00Z,25303
2024,9,863,1,2024-09-09T00:00:00Z,24569
2024,9,864,1,2024-09-09T00:00:00Z,23468
2024,9,865,1,2024-09-09T00:00:00Z,25124
2024,10,101,1,2024-10-16T00:00:00Z,21035
2024,10,102,1,2024-10-16T00:00:00Z,23879
2024,10,103,1,2024-10-16T00:00:00Z,23440
2024,10,104,1,2024-10-15T00:00:00Z,22188
2024,10,105,1,2024-10-15T00:00:00Z,22612
2024,10,106,1,2024-10-15T00:00:00Z,24018
2024,10,107,1,2024-10-16T00:00:00Z,21504
2024,10,108,1,2024-10-15T00:00:00Z,20881
2024,10,109,1,2024-10-15T00:00:00Z,23484
2024,10,110,1,2024-10-16T00:00:00Z,20717
2024,10,140,1,2024-10-16T00:00:00Z,26309
2024,10,142,1,2024-10-15T00:00:00Z,24168
2024,10,211,1,2024-10-14T00:00:00Z,22611
2024,10,212,1,2024-10-14T00:00:00Z,25178
2024,10,213,1,2024-10-14T00:00:00Z,22462
2024,10,214,1,2024-10-14T00:00:00Z,21467
2024,10,215,1,2024-10-14T00:00:00Z,21375
2024,10,216,1,2024-10-14T00:00:00Z,25646
2024,10,243,1,2024-10-14T00:00:00Z,23683
2024,10,244,1,2024-10-14T00:00:00Z,21370
2024,10,317,1,2024-10-10T00:00:00Z,22312
2024,10,318,1,2024-10-10T00:00:00Z,24619
2024,10,319,1,2024-10-10T00:00:00Z,25505
2024,10,320,1,2024-10-10T00:00:00Z,26589
2024,10,321,1,2024-10-10T00:00:00Z,30751
2024,10,322,1,2024-10-10T00:00:00Z,26892
2024,10,323,1,2024-10-10T00:00:00Z,23641
2024,10,325,1,2024-10-10T00:00:00Z,28205
2024,10,345,1,2024-10-10T00:00:00Z,22268
2024,10,346,1,2024-10-10T00:00:00Z,25879
2024,10,427,1,2024-10-09T00:00:00Z,21792
2024,10,428,1,2024-10-09T00:00:00Z,25340
2024,10,429,1,2024-10-09T00:00:00Z,19576
2024,10,430,1,2024-10-09T00:00:00Z,18961
2024,10,431,1,2024-10-09T00:00:00Z,26281
2024,10,432,1,2024-10-09T00:00:00Z,26145
2024,10,433,1,2024-10-09T00:00:00Z,27020
2024,10,447,1,2024-10-09T00:00:00Z,25114
2024,10,534,1,2024-10-09T00:00:00Z,28242
2024,10,535,1,2024-10-09T00:00:00Z,22807
2024,10,736,1,2024-10-08T00:00:00Z,22937
2024,10,750,1,2024-10-08T00:00:00Z,21085
2024,10,751,1,2024-10-08T00:00:00Z,22601
2024,10,752,1,2024-10-08T00:00:00Z,23971
2024,10,760,1,2024-10-08T00:00:00Z,24295
2024,10,761,1,2024-10-08T00:00:00Z,21901
2024,10,762,1,2024-10-08T00:00:00Z,22453
2024,10,837,1,2024-10-07T00:00:00Z,17535
2024,10,853,1,2024-10-07T00:00:00Z,21163
2024,10,863,1,2024-10-07T00:00:00Z,23952
2024,10,864,1,2024-10-07T00:00:00Z,21713
2024,10,865,1,2024-10-07T00:00:00Z,22990
2024,11,101,1,2024-11-14T00:00:00Z,23393
2024,11,102,1,2024-11-14T00:00:00Z,23428
2024,11,103,1,2024-11-14T00:00:00Z,22567
2024,11,104,1,2024-11-13T00:00:00Z,22561
2024,11,105,1,2024-11-13T00:00:00Z,25408
2024,11,106,1,2024-11-13T00:00:00Z,26136
2024,11,107,1,2024-11-14T00:00:00Z,21490
2024,11,108,1,2024-11-13T00:00:00Z,22116
2024,11,109,1,2024-11-13T00:00:00Z,21483
2024,11,110,1,2024-11-13T00:00:00Z,24155
2024,11,140,1,2024-11-14T00:00:00Z,20749
2024,11,142,1,2024-11-13T00:00:00Z,25247
2024,11,211,1,2024-11-12T00:00:00Z,23908
2024,11,212,1,2024-11-12T00:00:00Z,24996
2024,11,213,1,2024-11-12T00:00:00Z,21498
2024,11,214,1,2024-11-12T00:00:00Z,21831
2024,11,215,1,2024-11-12T00:00:00Z,30383
2024,11,216,1,2024-11-12T00:00:00Z,20852
2024,11,243,1,2024-11-12T00:00:00Z,28192
2024,11,244,1,2024-11-12T00:00:00Z,22827
2024,11,317,1,2024-11-07T00:00:00Z,24184
2024,11,318,1,2024-11-07T00:00:00Z,24804
2024,11,319,1,2024-11-07T00:00:00Z,24040
2024,11,320,1,2024-11-07T00:00:00Z,26762
2024,11,321,1,2024-11-07T00:00:00Z,24190
2024,11,322,1,2024-11-07T00:00:00Z,26461
2024,11,323,1,2024-11-07T00:00:00Z,27568
2024,11,325,1,2024-11-07T00:00:00Z,22188
2024,11,345,1,2024-11-07T00:00:00Z,25185
2024,11,346,1,2024-11-07T00:00:00Z,20648
2024,11,427,1,2024-11-06T00:00:00Z,22742
2024,11,428,1,2024-11-06T00:00:00Z,28671
2024,11,429,1,2024-11-06T00:00:00Z,31517
2024,11,430,1,2024-11-06T00:00:00Z,38811
2024,11,431,1,2024-11-06T00:00:00Z,31956
2024,11,432,1,2024-11-06T00:00:00Z,21260
2024,11,433,1,2024-11-06T00:00:00Z,26369
2024,11,447,1,2024-11-06T00:00:00Z,25299
2024,11,534,1,2024-11-06T00:00:00Z,26217
2024,11,535,1,2024-11-06T00:00:00Z,20060
2024,11,736,1,2024-11-05T00:00:00Z,25370
2024,11,750,1,2024-11-05T00:00:00Z,22266
2024,11,751,1,2024-11-05T00:00:00Z,20180
2024,11,752,1,2024-11-05T00:00:00Z,23163
2024,11,760,1,2024-11-05T00:00:00Z,25176
2024,11,761,1,2024-11-05T00:00:00Z,23983
2024,11,762,1,2024-11-05T00:00:00Z,24087
2024,11,837,1,2024-11-04T00:00:00Z,24590
2024,11,853,1,2024-11-04T00:00:00Z,22210
2024,11,863,1,2024-11-04T00:00:00Z,22176
2024,11,864,1,2024-11-04T00:00:00Z,18338
2024,11,865,1,2024-11-04T00:00:00Z,23206
2024,12,101,1,2024-12-11T00:00:00Z,20537
2024,12,102,1,2024-12-11T00:00:00Z,23023
2024,12,103,1,2024-12-11T00:00:00Z,23912
2024,12,104,1,2024-12-10T00:00:00Z,22096
2024,12,105,1,2024-12-10T00:00:00Z,22969
2024,12,106,1,2024-12-10T00:00:00Z,23402
2024,12,107,1,2024-12-11T00:00:00Z,23597
2024,12,108,1,2024-12-10T00:00:00Z,23629
2024,12,109,1,2024-12-10T00:00:00Z,22286
2024,12,110,1,2024-12-10T00:00:00Z,18633
2024,12,140,1,2024-12-11T00:00:00Z,18452
2024,12,142,1,2024-12-10T00:00:00Z,23179
2024,12,211,1,2024-12-09T00:00:00Z,17448
2024,12,212,1,2024-12-09T00:00:00Z,26020
2024,12,213,1,2024-12-09T00:00:00Z,23873
2024,12,214,1,2024-12-09T00:00:00Z,29707
2024,12,215,1,2024-12-09T00:00:00Z,22319
2024,12,216,1,2024-12-09T00:00:00Z,17748
2024,12,243,1,2024-12-09T00:00:00Z,20989
2024,12,244,1,2024-12-09T00:00:00Z,27759
2024,12,317,1,2024-12-05T00:00:00Z,25157
2024,12,318,1,2024-12-05T00:00:00Z,25151
2024,12,319,1,2024-12-05T00:00:00Z,22397
2024,12,320,1,2024-12-05T00:00:00Z,22693
2024,12,321,1,2024-12-05T00:00:00Z,24818
2024,12,322,1,2024-12-05T00:00:00Z,24371
2024,12,323,1,2024-12-05T00:00:00Z,25301
2024,12,325,1,2024-12-05T00:00:00Z,27912
2024,12,345,1,2024-12-05T00:00:00Z,25456
2024,12,346,1,2024-12-05T00:00:00Z,13723
2024,12,427,1,2024-12-04T00:00:00Z,22975
2024,12,428,1,2024-12-04T00:00:00Z,27657
2024,12,429,1,2024-12-04T00:00:00Z,27468
2024,12,430,1,2024-12-04T00:00:00Z,26190
2024,12,431,1,2024-12-04T00:00:00Z,24557
2024,12,432,1,2024-12-04T00:00:00Z,23962
2024,12,433,1,2024-12-04T00:00:00Z,21781
2024,12,447,1,2024-12-04T00:00:00Z,23716
2024,12,534,1,2024-12-04T00:00:00Z,22274
2024,12,535,1,2024-12-04T00:00:00Z,19782
2024,12,736,1,2024-12-03T00:00:00Z,23644
2024,12,750,1,2024-12-03T00:00:00Z,23796
2024,12,751,1,2024-12-03T00:00:00Z,23284
2024,12,752,1,2024-12-03T00:00:00Z,24993
2024,12,760,1,2024-12-03T00:00:00Z,22983
2024,12,761,1,2024-12-03T00:00:00Z,22942
2024,12,762,1,2024-12-03T00:00:00Z,22481
2024,12,837,1,2024-12-02T00:00:00Z,24195
2024,12,853,1,2024-12-02T00:00:00Z,21266
2024,12,863,1,2024-12-02T00:00:00Z,26412
2024,12,864,1,2024-12-02T00:00:00Z,22672
2024,12,865,1,2024-12-02T00:00:00Z,24098
