region_code,station_code,years_active,mean_months_per_year,median_months_per_year
1,SR071E,27,11.703703703703704,12
1,SR080E,27,11.777777777777779,12
1,SR090W,27,11.777777777777779,12
1,SR094E,27,11.37037037037037,12
1,SR130E,27,11.444444444444445,12
1,SR138E,27,11.74074074074074,12
2,AM001S,27,11.555555555555555,12
2,MS001N,27,11.62962962962963,12
2,SR014W,27,11.74074074074074,12
2,SR017E,27,11.62962962962963,12
2,SR024E,27,11.666666666666666,12
2,SR043W,27,11.703703703703704,12
2,SR049E,27,11.62962962962963,12
2,SR060E,27,11.74074074074074,12
2,SS011N,27,11.74074074074074,12
3,DS002S,27,11.666666666666666,12
3,GS010E,27,11.62962962962963,12
3,LP003E,27,11.703703703703704,12
3,MK004W,27,11.703703703703704,12
3,SF014E,27,11.592592592592593,12
3,SJ001S,27,11.74074074074074,12
3,SJ005N,27,11.666666666666666,12
3,TM001N,27,11.74074074074074,12
3,XC001N,27,11.592592592592593,12
4,MR010W,27,11.666666666666666,12
4,OR003W,27,11.74074074074074,12
4,OR014W,27,11.62962962962963,12
4,OR019E,27,11.11111111111111,12
4,OR023E,27,11.444444444444445,12
4,SJ032S,27,11.777777777777779,12
4,SJ041N,27,11.62962962962963,12
4,SJ051E,27,11.222222222222221,12
4,WD002W,27,11.555555555555555,12
5,SJ056E,27,11.185185185185185,12
5,SJ063W,27,9.37037037037037,11
5,SJ068W,27,9.481481481481481,12
5,SJ074W,27,9.37037037037037,11
6,SA001M,27,11.777777777777779,12
6,SA004W,27,11.296296296296296,12
6,SA007E,27,11.666666666666666,12
6,SA008W,27,11.777777777777779,12
6,SA009E,27,11.74074074074074,12
6,SA010W,27,11.777777777777779,12
6,SP000W,27,11.703703703703704,12
6,SP001W,27,11.777777777777779,12
6,SP003E,27,11.481481481481481,12
