Survey,Station,StationLatitude,StationLongitude,Location,Station Origin
SKT,340,38.09922222,122.2632778,Napa River along vallejo seawall and park,Townet
SKT,405,38.03991667,122.1467222,Carquinez Strait just West of Benicia Army Dock,Townet
SKT,411,38.05022222,122.0765278,"Suisun Bay, West of Point Edith",Townet
SKT,418,38.0675,122.0955556,"Suisun Bay, Mothball Fleet, opposite Avon Oil docks",Townet
SKT,501,38.07333333,122.0263333,"Suisun Bay, between Roe and Ryer Island, along Roe island",Townet
SKT,504,38.05194444,121.9860833,"Suisun Bay, South bank, East of Middle Point",Townet
SKT,519,38.07475,121.9580833,"Honker Bay, West End at Dolphin",Townet
SKT,602,38.11555556,122.0423917,"Grizzly Bay, NorthEast of Suisuin Slough Dolphin",Townet
SKT,606,38.17058333,122.0279167,Montezuma Slough off JoiceIsland at PG&E Cable crossing,Townet
SKT,609,38.16708333,121.9378333,Montezuma Slough at Nurse Slough,Townet
SKT,610,38.12219444,121.8891111,Montezuma Slough at road from Birds Landing,Townet
SKT,508,38.04716667,121.9172222,"Suisun Bay, off Chipps Island opposite Sac N. Ferry Slip",Townet
SKT,513,38.05886111,121.86775,"Sacramento River, between VanSickle and Winter Islands, at light 34",Townet
SKT,520,38.03216667,121.8631111,"New York Slough, West end along Pittsburg Docks",Townet
SKT,801,38.04369444,121.844,"Middle of Broad Slough, West End",Townet
SKT,804,38.01644444,121.7913056,"San Joaquin River, 1km upstream of Mouth",Townet
SKT,704,38.06658333,121.7903111,"Sacramento River, North side across from Sherman Lake",Townet
SKT,706,38.08608333,121.7504444,"Sacramento River, below South tip of Decker Island",Townet
SKT,707,38.11469444,121.7078611,"Sacramento River, at 3 Mile Slough in channel from lights 19 to 21",Townet
SKT,711,38.17741667,121.66225,Sacramento river at tip of Grand Island,Townet
SKT,712,38.19147222,121.6392222,Steamboat Slough North of windmill between siphons,FMWT
SKT,713,38.20647222,121.6610556,Cache Slough North of light 43,FMWT
SKT,715,38.22577778,121.6750278,Cache Slough North of light 47,FMWT
SKT,716,38.25769444,121.6919167,Cache Slough North of cable ferry 1 & 51 near boat sheds,FMWT
SKT,719,38.3335,121.6475,Sac Deep Water Ship Channel between lights 59 and 60,NA
SKT,724,38.23697222,121.5587778,Sacramento river at Ryde Hotel,FMWT
SKT,809,38.05377778,121.6930278,"San Joaquin River, North Channel opposite jersey Point, under PG&E towers",Townet
SKT,812,38.08991667,121.6399167,"San Joaquin River, Just west of Oulton Point",Townet
SKT,815,38.08713889,121.5711389,"San Joaquin River, mouth of little potato slough, between lights 19 and 51",Townet
SKT,902,38.02038889,121.5826667,"Old River, start at boat dock on Holland Tract levee",Townet
SKT,906,38.05002778,121.5064722,"San Joaquin River at Medford Island, between lights 8 &10",Townet
SKT,910,38.005,121.4530278,"San Joaquin River, between Hog and Turner Cut, at light 21",Townet
SKT,912,37.96641667,121.3685556,"San Joaquin River, at mouth of Calaveras River, at light 41",Townet
SKT,914,37.9715,121.52,"Middle River at Empire Cut, along east arm of river",Townet
SKT,915,37.94427778,121.5678889,Old River at western arm at Railroad Bridge.,Townet
SKT,919,38.10519444,121.4945833,"Little Potato Slough, 0.5 mile east of Terminous",Townet
SKT,920,38.14177778,121.5040556,South Fork Mokelumne River at Sycamore Slough,Townet
SKT,921,38.1655,121.4930278,South Mokelumne River at Mouth of Hog Slough,Townet
SKT,922,38.20469444,121.4790556,South Mokelumne River at mouth of Beaver Slough,Townet
SKT,923,38.13569444,121.5628056,South Mokelumne river in bend above S. Moke River,Townet
