"DateFF_flowonly","WaterYear","DateFFwTurb"
2014-03-07,2014,NA
2014-12-06,2015,2014-12-06
2016-01-17,2016,NA
2016-12-11,2017,2016-12-20
2018-01-11,2018,2018-03-23
2019-01-09,2019,2019-01-09
2021-10-26,2022,2021-10-26
2022-12-30,2023,2022-12-30
2024-01-20,2024,NA
