"Region","mean_depth","total_volume_km3","surface_area_km2","volume_Top10_km3","volume_Top2_km3","WaterSurfaceElevation"
"San Francisco Bay","-8.0006530062532","5.06221717370802","632.7255","3.63443949126755","1.23358529887196","1"
"Confluence","-7.33777753789402","0.533209877679622","72.6664","0.468904360789573","0.142215004588377","1.25"
"North Delta","-5.14731855294865","0.201427958005118","39.1326","0.190923298460937","0.0746268577338457","1.25"
"South Delta and Mokelumne River","-4.80391707724492","0.403705338245308","84.0367","0.388716543209183","0.164708978683364","1.25"
"Suisun Bay and Marsh and Honker Bay","-4.8854482655777","0.505743558631909","103.5204","0.473892500388443","0.199280944475925","1.25"
"San Pablo Bay, Carquinez Strait, and Napa River","-5.0135590934183","1.28226937780039","255.7603","1.082355485971","0.487696532649207","1 and 1.25 (Napa River)"
